S.No,Full Name,Admission Number,Student ID,PEN No,Student Register No,Parivar Pechan Patar,APAAR ID,Date of Birth,Age,Gender,Blood Group,Nationality,Religion,Category,Caste,Height,Weight,Aadhaar Number,Mobile Number,Email,Emergency Contact,Login Enabled,Verified Status,Branch Name,House No,Street,City,State,Pin Code,Permanent House No,Permanent Street,Permanent City,Permanent State,Permanent Pin Code,Same as Present Address,Current Class,Current Section,Current Roll No,Current Stream,Current House,Current Fee Group,Current Semester,Admit Class,Admit Section,Admit Roll No,Admit Stream,Admit House,Admit Fee Group,Admit Semester,Admit Group,Current Group,Admit Date,Father Name,Father Email,Father Contact,Father Qualification,Father Occupation,Father Organization,Father Designation,Father Office Contact,Father Aadhaar,Father Annual Income,Father Campus Employee,Mother Name,Mother Contact,Mother Qualification,Mother Occupation,Mother Aadhaar,Mother Annual Income,Mother Campus Employee,Has Sibling,Linked Sibling Names,Guardian Name,Guardian Contact,Guardian Address,Guardian Email,Guardian Aadhaar,Guardian Occupation,Guardian Annual Income,Transport Route,Transport Fee (₹/month),Academic Registration No,Previous School,Previous School Address,TC Date,Previous Class,Previous Percentage,Previous Attendance,Extra Activities,Belongs to BPL,Minority Status,Disability,Account Number,Bank Name,IFSC Code,Medium of Instruction,Last Year Result,Single Parent,Only Child,Only Girl Child,Adopted Child,Sibling Admission No,Transfer Case,Living With,Mother Tongue,Admission Type,UDISE No,Documents Verified,Birth Certificate Submitted,Student Aadhaar Submitted,Father Aadhaar Submitted,Mother Aadhaar Submitted,TC Submitted,Marksheet Submitted,Office Admission Date,Admitted Class,Receipt No,Payment Mode,Paid Amount,Checked By,Verified By,Approved By,Created At,Updated At,School ID,Status,ishostelopted,Is Hosteller
1,Saamu Do,50,f6c9cf3c-2ad9-4027-bc71-952345270826,,,,,15-05-2010,16,,,Indian,,,,,,,,s50@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,29-07-2026,John Doe,p50@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,29-07-2026,29-07-2026,42,,false,
2,ASs,49,f9807e0a-bac7-44ee-99a1-c970ffeab9ab,,,,,15-05-2010,16,,,,,,,,,,1234567890,sasha656@yopmail.com,,Yes,No,,,123 Main Street,New York,NY,,,,,,,No,Class 10,N/A,,,,,,Class 10,N/A,,,,,,,,28-07-2026,John Doe,p49@sameerschool.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,28-07-2026,29-07-2026,42,,false,
3,Saamu Do,48,52812b43-1e7a-4d62-82d8-971996adc930,,,,,15-05-2010,16,,,Indian,,,,,,,,s48@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,27-07-2026,John Doe,p48@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,27-07-2026,29-07-2026,42,,false,
4,Saamu Do,47,ce134897-bc93-4223-8055-1a9bf777fbfc,,,,,15-05-2010,16,,,Indian,,,,,,,,s47@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p47@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
5,Saamu Do,46,cb27e52f-827e-4432-bb30-73509df01355,,,,,15-05-2010,16,,,Indian,,,,,,,,s46@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p46@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
6,Saamu Do,45,87c09278-2a61-4ba6-9642-cc62b39962f4,,,,,15-05-2010,16,,,Indian,,,,,,,,s45@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p45@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
7,Saamu Do,44,3aad2e35-fd09-4e03-91ce-467cfb9ed219,,,,,15-05-2010,16,,,Indian,,,,,,,,s44@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p44@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
8,Saamu Do,43,126bcd4c-98f5-4703-997f-1e8f5c18bed0,,,,,15-05-2010,16,,,Indian,,,,,,,,s43@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p43@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
9,Saamu Do,42,302c3fa0-6d9b-4760-95c5-a051a9eb1b00,,,,,15-05-2010,16,,,Indian,,,,,,,,s42@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p42@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
10,Saamu Do,41,2f3d71c7-9676-4c74-bcfb-21ca6e7a7c2e,,,,,15-05-2010,16,,,Indian,,,,,,,,s41@sc001.gyansetu.ai,,Yes,No,,,,Bangalore,Karnataka,,,,,,,No,Class 9,B,,,,,,Class 9,B,,,,,,,,23-07-2026,John Doe,p41@sc001.gyansetu.ai,1234567890,,,,,,,,no,Elisabth Doe,0987654321,,,,,no,no,,,,,,,,,,0,,,,,,,,,No,no,,,,,,,no,no,no,no,,no,,,new,,No,No,No,No,No,No,No,,,,,,,,,23-07-2026,29-07-2026,42,,false,
