Full Name,Admission Number,Email,Student Register No,Parivar Pechan Patar,APAAR ID,Aadhaar Number,Admit Date,Age,Date of Birth,Category,Branch Name,PEN No,Student ID,Height,Weight,Religion,Caste,Nationality,Gender,Blood Group,ishostelopted,Transport Route,Admit Group,Admit Stream,Admit Class,Admit Section,Admit Roll No,Admit Semester,Admit House,Current Group,Current Stream,Current Class,Current Section,Current Roll No,Current Semester,Current House,Academic Registration No,Previous School,School Address,TC Date,Previous Class,Percentage,Extra Activities,Father Name,Father Email,Father Contact,Father Qualification,Father Occupation,Father Aadhaar,Father Annual Income,Mother Name,Mother Contact,Mother Qualification,Mother Occupation,Mother Aadhaar,Mother Annual Income,Guardian Name,Guardian Address,Guardian Contact,Guardian Email,Guardian Aadhaar,Guardian Occupation,Guardian Annual Income,Mobile Number,Emergency Contact,House No,Street,City,State,Pin Code,Permanent House No,Permanent Street,Permanent City,Permanent State,Permanent Pin Code,Transport Mode,transport_busId,Pickup Point,transport_pickupDriverId,transport_pickupRouteId,transport_pickupBusId,transport_pickupLocation,transport_pickupArea,transport_dropDriverId,transport_dropRouteId,transport_dropBusId,transport_dropLocation,transport_dropArea,Belongs to BPL,Minority,Disability,Type of Disability,Bank Account No,Bank Name,IFSC Code,Medium of Instruction,Last Year Result,Single Parent,Only Child,Only Girl Child,Transfer Case,Living With,Mother Tongue,Admission Type,UDISE No,fatherSignature,motherSignature,guardianSignature
Student 01,ADM-STUDEN-00001,student01@example.com,REG-ADMSTU-00001,,,,,16,01/01/2010,General,Student 01,,STU-ADMSTU-00001,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00001,,,,,,,Student 01,student01@example.com,9876501001,,,,,Student 01,9876501001,,,,,Student 01,Address 1,9876501001,student01@example.com,,,,9876501001,9876501001,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 01,,,,no,no,no,no,,,ADM0001,,,,
Student 02,ADM-STUDEN-00002,student02@example.com,REG-ADMSTU-00002,,,,,16,01/01/2010,General,Student 02,,STU-ADMSTU-00002,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00002,,,,,,,Student 02,student02@example.com,9876501002,,,,,Student 02,9876501002,,,,,Student 02,Address 2,9876501002,student02@example.com,,,,9876501002,9876501002,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 02,,,,no,no,no,no,,,ADM0002,,,,
Student 03,ADM-STUDEN-00003,student03@example.com,REG-ADMSTU-00003,,,,,16,01/01/2010,General,Student 03,,STU-ADMSTU-00003,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00003,,,,,,,Student 03,student03@example.com,9876501003,,,,,Student 03,9876501003,,,,,Student 03,Address 3,9876501003,student03@example.com,,,,9876501003,9876501003,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 03,,,,no,no,no,no,,,ADM0003,,,,
Student 04,ADM-STUDEN-00004,student04@example.com,REG-ADMSTU-00004,,,,,16,01/01/2010,General,Student 04,,STU-ADMSTU-00004,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00004,,,,,,,Student 04,student04@example.com,9876501004,,,,,Student 04,9876501004,,,,,Student 04,Address 4,9876501004,student04@example.com,,,,9876501004,9876501004,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 04,,,,no,no,no,no,,,ADM0004,,,,
Student 05,ADM-STUDEN-00005,student05@example.com,REG-ADMSTU-00005,,,,,16,01/01/2010,General,Student 05,,STU-ADMSTU-00005,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00005,,,,,,,Student 05,student05@example.com,9876501005,,,,,Student 05,9876501005,,,,,Student 05,Address 5,9876501005,student05@example.com,,,,9876501005,9876501005,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 05,,,,no,no,no,no,,,ADM0005,,,,
Student 06,ADM-STUDEN-00006,student06@example.com,REG-ADMSTU-00006,,,,,16,01/01/2010,General,Student 06,,STU-ADMSTU-00006,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00006,,,,,,,Student 06,student06@example.com,9876501006,,,,,Student 06,9876501006,,,,,Student 06,Address 6,9876501006,student06@example.com,,,,9876501006,9876501006,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 06,,,,no,no,no,no,,,ADM0006,,,,
Student 07,ADM-STUDEN-00007,student07@example.com,REG-ADMSTU-00007,,,,,16,01/01/2010,General,Student 07,,STU-ADMSTU-00007,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00007,,,,,,,Student 07,student07@example.com,9876501007,,,,,Student 07,9876501007,,,,,Student 07,Address 7,9876501007,student07@example.com,,,,9876501007,9876501007,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 07,,,,no,no,no,no,,,ADM0007,,,,
Student 08,ADM-STUDEN-00008,student08@example.com,REG-ADMSTU-00008,,,,,16,01/01/2010,General,Student 08,,STU-ADMSTU-00008,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00008,,,,,,,Student 08,student08@example.com,9876501008,,,,,Student 08,9876501008,,,,,Student 08,Address 8,9876501008,student08@example.com,,,,9876501008,9876501008,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 08,,,,no,no,no,no,,,ADM0008,,,,
Student 09,ADM-STUDEN-00009,student09@example.com,REG-ADMSTU-00009,,,,,16,01/01/2010,General,Student 09,,STU-ADMSTU-00009,,,,,Indian,Male,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00009,,,,,,,Student 09,student09@example.com,9876501009,,,,,Student 09,9876501009,,,,,Student 09,Address 9,9876501009,student09@example.com,,,,9876501009,9876501009,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 09,,,,no,no,no,no,,,ADM0009,,,,
Student 10,ADM-STUDEN-00010,student10@example.com,REG-ADMSTU-00010,,,,,16,01/01/2010,General,Student 10,,STU-ADMSTU-00010,,,,,Indian,Female,,no,,,,Class 1,A,,,,,,Class 1,A,,,,ACAD-ADMSTU-00010,,,,,,,Student 10,student10@example.com,9876501010,,,,,Student 10,9876501010,,,,,Student 10,Address 10,9876501010,student10@example.com,,,,9876501010,9876501010,,,Kochi,Kerala,682001,,,Kochi,Kerala,682001,Self,,,,,,,,,,,,,no,no,no,,,Student 10,,,,no,no,no,no,,,ADM0010,,,,
