name,email,username,alternateEmail,phone,emergencyContact,gender,dateOfBirth,workforceType,age,staffCategory,bloodGroup,staffSubcategory,religion,staffSubSubcategory,maritalStatus,address,designation,qualification,experience,joiningDate,monthlySalary,status,isClassIncharge,inchargeClass,inchargeSection,departmentId,employeeCode,classes,subjects,teacherId,facebook,twitter,linkedIn,accountHolderName,accountNumber,bankName,bankBranch
Rahul Sharma,rahul@gmail.com,rahul,,9876543210,9876543210,Other,01/01/1980,Teaching,46,,,,,,,,Staff,MSc Physics,5,01/01/2026,,Active,no,,,,EMP-RAHULS-00001,,Physics,,,,,,,,
Anita Verma,anita@gmail.com,anita,,9123456780,9123456780,Other,02/02/1979,Teaching,47,,,,,,,,Staff,MSc Mathematics,3,01/01/2026,,Active,no,,,,EMP-ANITAV-00002,,"Physics,Math",,,,,,,,
Priya Singh,priya@gmail.com,priya,,9988776655,9988776655,Other,03/03/1978,Non Teaching,48,,,,,,,,Staff,B.Com,2,01/01/2026,,Active,no,,,,EMP-PRIYAS-00003,,,,,,,,,,
Teacher 01,teacher01@example.com,teacher01,,9876511001,9876511001,Other,04/04/1977,Teaching,49,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00004,,Mathematics,,,,,,,,
Teacher 02,teacher02@example.com,teacher02,,9876511002,9876511002,Other,05/05/1976,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00005,,Mathematics,,,,,,,,
Teacher 03,teacher03@example.com,teacher03,,9876511003,9876511003,Other,06/06/1975,Teaching,51,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00006,,Mathematics,,,,,,,,
Teacher 04,teacher04@example.com,teacher04,,9876511004,9876511004,Other,07/07/1974,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00007,,Mathematics,,,,,,,,
Teacher 05,teacher05@example.com,teacher05,,9876511005,9876511005,Other,08/08/1973,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00008,,Mathematics,,,,,,,,
Teacher 06,teacher06@example.com,teacher06,,9876511006,9876511006,Other,09/09/1980,Teaching,45,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00009,,Mathematics,,,,,,,,
Teacher 07,teacher07@example.com,teacher07,,9876511007,9876511007,Other,10/10/1979,Teaching,46,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00010,,Mathematics,,,,,,,,
Teacher 08,teacher08@example.com,teacher08,,9876511008,9876511008,Other,11/11/1978,Teaching,47,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00011,,Mathematics,,,,,,,,
Teacher 09,teacher09@example.com,teacher09,,9876511009,9876511009,Other,12/12/1977,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00012,,Mathematics,,,,,,,,
Teacher 10,teacher10@example.com,teacher10,,9876511010,9876511010,Other,13/01/1976,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00013,,Mathematics,,,,,,,,
Teacher 11,teacher11@example.com,teacher11,,9876511011,9876511011,Other,14/02/1975,Teaching,51,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00014,,Mathematics,,,,,,,,
Teacher 12,teacher12@example.com,teacher12,,9876511012,9876511012,Other,15/03/1974,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00015,,Mathematics,,,,,,,,
Teacher 13,teacher13@example.com,teacher13,,9876511013,9876511013,Other,16/04/1973,Teaching,53,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00016,,Mathematics,,,,,,,,
Teacher 14,teacher14@example.com,teacher14,,9876511014,9876511014,Other,17/05/1980,Teaching,46,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00017,,Mathematics,,,,,,,,
Teacher 15,teacher15@example.com,teacher15,,9876511015,9876511015,Other,18/06/1979,Teaching,47,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00018,,Mathematics,,,,,,,,
Teacher 16,teacher16@example.com,teacher16,,9876511016,9876511016,Other,19/07/1978,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00019,,Mathematics,,,,,,,,
Teacher 17,teacher17@example.com,teacher17,,9876511017,9876511017,Other,20/08/1977,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00020,,Mathematics,,,,,,,,
Teacher 18,teacher18@example.com,teacher18,,9876511018,9876511018,Other,21/09/1976,Teaching,49,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00021,,Mathematics,,,,,,,,
Teacher 19,teacher19@example.com,teacher19,,9876511019,9876511019,Other,22/10/1975,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00022,,Mathematics,,,,,,,,
Teacher 20,teacher20@example.com,teacher20,,9876511020,9876511020,Other,23/11/1974,Teaching,51,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00023,,Mathematics,,,,,,,,
Teacher 21,teacher21@example.com,teacher21,,9876511021,9876511021,Other,24/12/1973,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00024,,Mathematics,,,,,,,,
Teacher 22,teacher22@example.com,teacher22,,9876511022,9876511022,Other,25/01/1980,Teaching,46,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00025,,Mathematics,,,,,,,,
Teacher 23,teacher23@example.com,teacher23,,9876511023,9876511023,Other,26/02/1979,Teaching,47,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00026,,Mathematics,,,,,,,,
Teacher 24,teacher24@example.com,teacher24,,9876511024,9876511024,Other,27/03/1978,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00027,,Mathematics,,,,,,,,
Teacher 25,teacher25@example.com,teacher25,,9876511025,9876511025,Other,28/04/1977,Teaching,49,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00028,,Mathematics,,,,,,,,
Teacher 26,teacher26@example.com,teacher26,,9876511026,9876511026,Other,05/01/1976,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00029,,Mathematics,,,,,,,,
Teacher 27,teacher27@example.com,teacher27,,9876511027,9876511027,Other,06/02/1975,Teaching,51,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00030,,Mathematics,,,,,,,,
Teacher 28,teacher28@example.com,teacher28,,9876511028,9876511028,Other,07/03/1974,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00031,,Mathematics,,,,,,,,
Teacher 29,teacher29@example.com,teacher29,,9876511029,9876511029,Other,08/04/1973,Teaching,53,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00032,,Mathematics,,,,,,,,
Teacher 30,teacher30@example.com,teacher30,,9876511030,9876511030,Other,09/05/1980,Teaching,46,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00033,,Mathematics,,,,,,,,
Teacher 31,teacher31@example.com,teacher31,,9876511031,9876511031,Other,10/06/1979,Teaching,47,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00034,,Mathematics,,,,,,,,
Teacher 32,teacher32@example.com,teacher32,,9876511032,9876511032,Other,11/07/1978,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00035,,Mathematics,,,,,,,,
Teacher 33,teacher33@example.com,teacher33,,9876511033,9876511033,Other,12/08/1977,Teaching,48,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00036,,Mathematics,,,,,,,,
Teacher 34,teacher34@example.com,teacher34,,9876511034,9876511034,Other,01/09/1976,Teaching,49,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00037,,Mathematics,,,,,,,,
Teacher 35,teacher35@example.com,teacher35,,9876511035,9876511035,Other,02/10/1975,Teaching,50,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00038,,Mathematics,,,,,,,,
Teacher 36,teacher36@example.com,teacher36,,9876511036,9876511036,Other,03/11/1974,Teaching,51,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00039,,Mathematics,,,,,,,,
Teacher 37,teacher37@example.com,teacher37,,9876511037,9876511037,Other,04/12/1973,Teaching,52,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00040,,Mathematics,,,,,,,,
Teacher 38,teacher38@example.com,teacher38,,9876511038,9876511038,Other,13/05/1980,Teaching,46,,,,,,,,Staff,Not Specified,5,01/01/2026,,Active,no,,,,EMP-TEACHE-00041,,Mathematics,,,,,,,,
