Full Name,Admission Number,Email,Student Register No,Parivar Pechan Patar,APAAR ID,Aadhaar Number,Admit Date,Age,Date of Birth,Category,Branch Name,PEN No,Student ID,Height,Weight,Religion,Caste,Nationality,Gender,Blood Group,ishostelopted,Transport Route,Admit Group,Admit Stream,Admit Class,Admit Section,Admit Roll No,Admit Semester,Admit House,Current Group,Current Stream,Current Class,Current Section,Current Roll No,Current Semester,Current House,Academic Registration No,Previous School,School Address,TC Date,Previous Class,Percentage,Extra Activities,Father Name,Father Email,Father Contact,Father Qualification,Father Occupation,Father Aadhaar,Father Annual Income,Mother Name,Mother Contact,Mother Qualification,Mother Occupation,Mother Aadhaar,Mother Annual Income,Guardian Name,Guardian Address,Guardian Contact,Guardian Email,Guardian Aadhaar,Guardian Occupation,Guardian Annual Income,Mobile Number,Emergency Contact,House No,Street,City,State,Pin Code,Permanent House No,Permanent Street,Permanent City,Permanent State,Permanent Pin Code,Transport Mode,transport_busId,Pickup Point,transport_pickupDriverId,transport_pickupRouteId,transport_pickupBusId,transport_pickupLocation,transport_pickupArea,transport_dropDriverId,transport_dropRouteId,transport_dropBusId,transport_dropLocation,transport_dropArea,Belongs to BPL,Minority,Disability,Type of Disability,Bank Account No,Bank Name,IFSC Code,Medium of Instruction,Last Year Result,Single Parent,Only Child,Only Girl Child,Transfer Case,Living With,Mother Tongue,Admission Type,UDISE No,fatherSignature,motherSignature,guardianSignature
Saamu Do,50,s50@sc001.gyansetu.ai,REG-50-00001,,,,29/07/2026,16,15/05/2010,General,,,f6c9cf3c-2ad9-4027-bc71-952345270826,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-50-00001,,,,,,,John Doe,p50@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
ASs,49,sasha656@yopmail.com,REG-49-00002,,,,28/07/2026,16,15/05/2010,General,,,f9807e0a-bac7-44ee-99a1-c970ffeab9ab,,,,,Indian,Other,,false,,,,Class 10,N/A,,,,,,Class 10,N/A,,,,ACAD-49-00002,,,,,,,John Doe,p49@sameerschool.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,123 Main Street,New York,NY,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,48,s48@sc001.gyansetu.ai,REG-48-00003,,,,27/07/2026,16,15/05/2010,General,,,52812b43-1e7a-4d62-82d8-971996adc930,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-48-00003,,,,,,,John Doe,p48@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,47,s47@sc001.gyansetu.ai,REG-47-00004,,,,23/07/2026,16,15/05/2010,General,,,ce134897-bc93-4223-8055-1a9bf777fbfc,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-47-00004,,,,,,,John Doe,p47@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,46,s46@sc001.gyansetu.ai,REG-46-00005,,,,23/07/2026,16,15/05/2010,General,,,cb27e52f-827e-4432-bb30-73509df01355,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-46-00005,,,,,,,John Doe,p46@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,45,s45@sc001.gyansetu.ai,REG-45-00006,,,,23/07/2026,16,15/05/2010,General,,,87c09278-2a61-4ba6-9642-cc62b39962f4,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-45-00006,,,,,,,John Doe,p45@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,44,s44@sc001.gyansetu.ai,REG-44-00007,,,,23/07/2026,16,15/05/2010,General,,,3aad2e35-fd09-4e03-91ce-467cfb9ed219,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-44-00007,,,,,,,John Doe,p44@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,43,s43@sc001.gyansetu.ai,REG-43-00008,,,,23/07/2026,16,15/05/2010,General,,,126bcd4c-98f5-4703-997f-1e8f5c18bed0,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-43-00008,,,,,,,John Doe,p43@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,42,s42@sc001.gyansetu.ai,REG-42-00009,,,,23/07/2026,16,15/05/2010,General,,,302c3fa0-6d9b-4760-95c5-a051a9eb1b00,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-42-00009,,,,,,,John Doe,p42@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
Saamu Do,41,s41@sc001.gyansetu.ai,REG-41-00010,,,,23/07/2026,16,15/05/2010,General,,,2f3d71c7-9676-4c74-bcfb-21ca6e7a7c2e,,,,,Indian,Other,,false,,,,Class 9,B,,,,,,Class 9,B,,,,ACAD-41-00010,,,,,,,John Doe,p41@sc001.gyansetu.ai,1234567890,,,,,Elisabth Doe,0987654321,,,,,,,1234567890,,,,,1234567890,1234567890,,,Bangalore,Karnataka,,,,,,,Self,,,,,,,,,,,,,No,no,no,,,,,,,no,no,no,no,,,new,,,,
